Ticker,Url
AAPL,https://www.marketbeat.com/stocks/NASDAQ/AAPL/
MSFT,https://www.marketbeat.com/stocks/NASDAQ/MSFT/
BABA,https://www.marketbeat.com/stocks/NYSE/BABA/
V,https://www.marketbeat.com/stocks/NYSE/V/
MA,https://www.marketbeat.com/stocks/NYSE/MA/
JD,https://www.marketbeat.com/stocks/NASDAQ/JD/
ADBE,https://www.marketbeat.com/stocks/NASDAQ/ADBE/
AMD,https://www.marketbeat.com/stocks/NASDAQ/AMD/
AMT,https://www.marketbeat.com/stocks/NYSE/AMT/
AMZN,https://www.marketbeat.com/stocks/NASDAQ/AMZN/
COST,https://www.marketbeat.com/stocks/NASDAQ/COST/
EQIX,https://www.marketbeat.com/stocks/NASDAQ/EQIX/
FB,https://www.marketbeat.com/stocks/NASDAQ/FB/
GOOG,https://www.marketbeat.com/stocks/NASDAQ/GOOG/
GPN,https://www.marketbeat.com/stocks/NYSE/GPN/
LHX,https://www.marketbeat.com/stocks/NYSE/LHX/
MCO,https://www.marketbeat.com/stocks/NYSE/MCO/
NFLX,https://www.marketbeat.com/stocks/NASDAQ/NFLX/
NVDA,https://www.marketbeat.com/stocks/NASDAQ/NVDA/
PLD,https://www.marketbeat.com/stocks/NYSE/PLD/
RTN,https://www.marketbeat.com/stocks/NYSE/RTN/
TDG,https://www.marketbeat.com/stocks/NYSE/TDG/
TDY,https://www.marketbeat.com/stocks/NYSE/TDY/
UTX,https://www.marketbeat.com/stocks/NYSE/UTX/
JPM,https://www.marketbeat.com/stocks/NYSE/JPM/
BILI,https://www.marketbeat.com/stocks/NASDAQ/BILI/
GLOB,https://www.marketbeat.com/stocks/NYSE/GLOB/
IQ,https://www.marketbeat.com/stocks/NASDAQ/IQ/
MU,https://www.marketbeat.com/stocks/NASDAQ/MU/
RNG,https://www.marketbeat.com/stocks/NYSE/RNG/
SHOP,https://www.marketbeat.com/stocks/NYSE/SHOP/
KG,https://www.marketbeat.com/stocks/CVE/KG/
KR,https://www.marketbeat.com/stocks/NYSE/KR/
WMT,https://www.marketbeat.com/stocks/NYSE/WMT/
JNJ,https://www.marketbeat.com/stocks/NYSE/JNJ/
XLK,https://www.marketbeat.com/stocks/NYSEARCA/XLK/
XLRE,https://www.marketbeat.com/stocks/NYSEARCA/XLRE/
XLU,https://www.marketbeat.com/stocks/NYSEARCA/XLU/
XLC,https://www.marketbeat.com/stocks/NYSEARCA/XLC/
XLP,https://www.marketbeat.com/stocks/NYSEARCA/XLP/
IPHI,https://www.marketbeat.com/stocks/NYSE/IPHI/
XSD,https://www.marketbeat.com/stocks/NYSEARCA/XSD/
SOXL,https://www.marketbeat.com/stocks/NYSEARCA/SOXL/
NTES,https://www.marketbeat.com/stocks/NASDAQ/NTES/
TAL,https://www.marketbeat.com/stocks/NYSE/TAL/
TME,https://www.marketbeat.com/stocks/NYSE/TME/
QQQ,https://www.marketbeat.com/stocks/NASDAQ/QQQ/
VOO,https://www.marketbeat.com/stocks/NYSEARCA/VOO/
TQQQ,https://www.marketbeat.com/stocks/NASDAQ/TQQQ/
TECL,https://www.marketbeat.com/stocks/NYSEARCA/TECL/
BIIB,https://www.marketbeat.com/stocks/NASDAQ/BIIB/
SU,https://www.marketbeat.com/stocks/NYSE/SU/
TSLA,https://www.marketbeat.com/stocks/NASDAQ/TSLA/
ENPH,https://www.marketbeat.com/stocks/NASDAQ/ENPH/
PLUG,https://www.marketbeat.com/stocks/NASDAQ/PLUG/
CVS,https://www.marketbeat.com/stocks/NYSE/CVS/
WBA,https://www.marketbeat.com/stocks/NASDAQ/WBA/
QSR,https://www.marketbeat.com/stocks/NYSE/QSR/
SEDG,https://www.marketbeat.com/stocks/NASDAQ/SEDG/
O,https://www.marketbeat.com/stocks/NYSE/O/
AQST,https://www.marketbeat.com/stocks/NASDAQ/AQST/
AZN,https://www.marketbeat.com/stocks/NYSE/AZN/
SWKS,https://www.marketbeat.com/stocks/NASDAQ/SWKS/
TMUS,https://www.marketbeat.com/stocks/NASDAQ/TMUS/
DXCM,https://www.marketbeat.com/stocks/NASDAQ/DXCM/
ACMR,https://www.marketbeat.com/stocks/NASDAQ/ACMR/
LPSN,https://www.marketbeat.com/stocks/NASDAQ/LPSN/
XLRN,https://www.marketbeat.com/stocks/NASDAQ/XLRN/
ADPT,https://www.marketbeat.com/stocks/NASDAQ/ADPT/
CPRT,https://www.marketbeat.com/stocks/NASDAQ/CPRT/
APPF,https://www.marketbeat.com/stocks/NASDAQ/APPF/
CCI,https://www.marketbeat.com/stocks/NYSE/CCI/
SBAC,https://www.marketbeat.com/stocks/NASDAQ/SBAC/
CSGP,https://www.marketbeat.com/stocks/NASDAQ/CSGP/
DRE,https://www.marketbeat.com/stocks/NYSE/DRE/
LOW,https://www.marketbeat.com/stocks/NYSE/LOW/
TGT,https://www.marketbeat.com/stocks/NYSE/TGT/
SPGI,https://www.marketbeat.com/stocks/NYSE/SPGI/
TER,https://www.marketbeat.com/stocks/NYSE/TER/
GSB,https://www.marketbeat.com/stocks/NYSEAMERICAN/GSB/
IDN,https://www.marketbeat.com/stocks/NYSEAMERICAN/IDN/
INTL,https://www.marketbeat.com/stocks/NASDAQ/INTL/
INTC,https://www.marketbeat.com/stocks/NASDAQ/INTC/
ABC,https://www.marketbeat.com/stocks/NYSE/ABC/
NEE,https://www.marketbeat.com/stocks/NYSE/NEE/
GOOGL,https://www.marketbeat.com/stocks/NASDAQ/GOOGL/
NKE,https://www.marketbeat.com/stocks/NYSE/NKE/
UNH,https://www.marketbeat.com/stocks/NYSE/UNH/
TMO,https://www.marketbeat.com/stocks/NYSE/TMO/
ACN,https://www.marketbeat.com/stocks/NYSE/ACN/
ABT,https://www.marketbeat.com/stocks/NYSE/ABT/
CMCSA,https://www.marketbeat.com/stocks/NASDAQ/CMCSA/
PEP,https://www.marketbeat.com/stocks/NASDAQ/PEP/
CSCO,https://www.marketbeat.com/stocks/NASDAQ/CSCO/
PYPL,https://www.marketbeat.com/stocks/NASDAQ/PYPL/
FISV,https://www.marketbeat.com/stocks/NASDAQ/FISV/
LRCX,https://www.marketbeat.com/stocks/NASDAQ/LRCX/
DG,https://www.marketbeat.com/stocks/NYSE/DG/
IR,https://www.marketbeat.com/stocks/NYSE/IR/
CNC,https://www.marketbeat.com/stocks/NYSE/CNC/
HLT,https://www.marketbeat.com/stocks/NYSE/HLT/
LULU,https://www.marketbeat.com/stocks/NASDAQ/LULU/
APH,https://www.marketbeat.com/stocks/NYSE/APH/
TWTR,https://www.marketbeat.com/stocks/NYSE/TWTR/
SQ,https://www.marketbeat.com/stocks/NYSE/SQ/
ORLY,https://www.marketbeat.com/stocks/NASDAQ/ORLY/
PAYX,https://www.marketbeat.com/stocks/NASDAQ/PAYX/
PODD,https://www.marketbeat.com/stocks/NASDAQ/PODD/
ELS,https://www.marketbeat.com/stocks/NYSE/ELS/
ZBRA,https://www.marketbeat.com/stocks/NASDAQ/ZBRA/
TYL,https://www.marketbeat.com/stocks/NYSE/TYL/
DOCU,https://www.marketbeat.com/stocks/NASDAQ/DOCU/
WST,https://www.marketbeat.com/stocks/NYSE/WST/
EPAM,https://www.marketbeat.com/stocks/NYSE/EPAM/
TTD,https://www.marketbeat.com/stocks/NASDAQ/TTD/
FICO,https://www.marketbeat.com/stocks/NYSE/FICO/
COUP,https://www.marketbeat.com/stocks/NASDAQ/COUP/
WEX,https://www.marketbeat.com/stocks/NYSE/WEX/
BFAM,https://www.marketbeat.com/stocks/NYSE/BFAM/
GWRE,https://www.marketbeat.com/stocks/NYSE/GWRE/
ZEN,https://www.marketbeat.com/stocks/NYSE/ZEN/
DPZ,https://www.marketbeat.com/stocks/NYSE/DPZ/
MPW,https://www.marketbeat.com/stocks/NYSE/MPW/
FDS,https://www.marketbeat.com/stocks/NYSE/FDS/
WTRG,https://www.marketbeat.com/stocks/NASDAQ/WTRG/
TRMB,https://www.marketbeat.com/stocks/NASDAQ/TRMB/
BRO,https://www.marketbeat.com/stocks/NYSE/BRO/
Y,https://www.marketbeat.com/stocks/NYSE/Y/
NNN,https://www.marketbeat.com/stocks/NYSE/NNN/
PG,https://www.marketbeat.com/stocks/NYSE/PG/
KO,https://www.marketbeat.com/stocks/NYSE/KO/
MDLZ,https://www.marketbeat.com/stocks/NASDAQ/MDLZ/
PM,https://www.marketbeat.com/stocks/NYSE/PM/
MO,https://www.marketbeat.com/stocks/NYSE/MO/
CL,https://www.marketbeat.com/stocks/NYSE/CL/
KMB,https://www.marketbeat.com/stocks/NYSE/KMB/
EL,https://www.marketbeat.com/stocks/NYSE/EL/
SYY,https://www.marketbeat.com/stocks/NYSE/SYY/
STZ,https://www.marketbeat.com/stocks/NYSE/STZ/
GIS,https://www.marketbeat.com/stocks/NYSE/GIS/
MNST,https://www.marketbeat.com/stocks/NASDAQ/MNST/
ADM,https://www.marketbeat.com/stocks/NYSE/ADM/
HSY,https://www.marketbeat.com/stocks/NYSE/HSY/
TSN,https://www.marketbeat.com/stocks/NYSE/TSN/
